stimulus	response	reactionTime	participant	group
tec1,tea1,dsb1	3	2.337329149246216	ambarLuna	bi
dsb1,dsc1,tec1	3	2.046741008758545	ambarLuna	bi
dsc1,dsb1,tec1	3	1.9628539085388184	ambarLuna	bi
tea1,tec1,dsb1	1	21.283313035964966	ambarLuna	bi
tsb2,dea2,dec2	1	2.6990890502929688	ambarLuna	bi
deb2,dea2,dsa2	3	2.178900957107544	ambarLuna	bi
tec1,teb1,dsc1	3	2.003014087677002	ambarLuna	bi
tsa2,tsb2,dea2	3	1.7310349941253662	ambarLuna	bi
tec2,dsc2,dsb2	1	2.338953971862793	ambarLuna	bi
tea1,dsa1,dsb1	1	2.0264980792999268	ambarLuna	bi
teb1,tsa1,tsc1	1	1.8200459480285645	ambarLuna	bi
dea1,deb1,dsa1	1	2.1709630489349365	ambarLuna	bi
tsc2,tsb2,dec2	3	1.8750100135803223	ambarLuna	bi
dsa2,dsc2,teb2	3	1.9068901538848877	ambarLuna	bi
teb2,tea2,dsa2	3	2.474977970123291	ambarLuna	bi
dsb1,dea1,dec1	1	2.3310110569000244	ambarLuna	bi
dsb1,dsa1,dea1	3	2.45920991897583	ambarLuna	bi
tsc1,tsa1,deb1	3	1.8429059982299805	ambarLuna	bi
teb1,tea1,dsa1	3	1.9390699863433838	ambarLuna	bi
dea1,deb1,tsa1	1	18.12319302558899	ambarLuna	bi
dsc2,tec2,teb2	1	2.5230069160461426	ambarLuna	bi
dec2,dea2,dsb2	1	2.4349708557128906	ambarLuna	bi
tea2,dsb2,dsa2	1	2.234969139099121	ambarLuna	bi
teb2,dsc2,dsa2	1	1.963176965713501	ambarLuna	bi
dsc1,teb1,tec1	1	1.9387271404266357	ambarLuna	bi
tea1,tsa1,tsb1	1	1.7549569606781006	ambarLuna	bi
tea2,dsa2,dsb2	1	2.0512239933013916	ambarLuna	bi
tsa1,teb1,tea1	1	2.3546669483184814	ambarLuna	bi
dsc1,deb1,dec1	1	2.1229629516601562	ambarLuna	bi
tsb1,tec1,tea1	1	1.8989441394805908	ambarLuna	bi
tsc1,dec1,deb1	1	2.3789899349212646	ambarLuna	bi
tsb2,tec2,tea2	3	1.7790420055389404	ambarLuna	bi
tsa1,tsc1,deb1	3	1.8829138278961182	ambarLuna	bi
dsc2,dec2,deb2	1	2.0270071029663086	ambarLuna	bi
dsa2,teb2,tea2	3	2.2749269008636475	ambarLuna	bi
deb1,dsa1,dsc1	1	2.059006929397583	ambarLuna	bi
tsa2,tsc2,teb2	3	1.7229030132293701	ambarLuna	bi
teb1,tsc1,tsa1	1	2.0429880619049072	ambarLuna	bi
tec2,tea2,dsb2	1	2.0669350624084473	ambarLuna	bi
dsb2,tea2,tec2	1	2.0829660892486572	ambarLuna	bi
tsb1,tea1,tec1	1	1.8431251049041748	ambarLuna	bi
teb2,tsa2,tsc2	1	2.0505740642547607	ambarLuna	bi
dec1,deb1,dsc1	3	1.811629056930542	ambarLuna	bi
dsc1,dsa1,deb1	3	1.9388020038604736	ambarLuna	bi
tsb1,dea1,dec1	1	1.7792439460754395	ambarLuna	bi
dsb2,dsa2,dea2	3	1.8827180862426758	ambarLuna	bi
dea2,dsa2,dsb2	1	1.8829560279846191	ambarLuna	bi
dea2,tsa2,tsb2	1	1.7384488582611084	ambarLuna	bi
tsc1,tsb1,tec1	3	1.7398829460144043	ambarLuna	bi
tec1,teb1,tsc1	1	1.8191330432891846	ambarLuna	bi
tsb2,dec2,dea2	1	2.0270631313323975	ambarLuna	bi
tsa1,tsc1,teb1	3	1.7309980392456055	ambarLuna	bi
deb2,dea2,tsa2	3	2.1386301517486572	ambarLuna	bi
tsc2,tsa2,teb2	3	2.059706926345825	ambarLuna	bi
dec1,tsb1,tsc1	1	1.7391338348388672	ambarLuna	bi
deb2,dsa2,dsc2	1	2.434953212738037	ambarLuna	bi
tec2,tsc2,tsb2	1	1.9629459381103516	ambarLuna	bi
dsa2,dsc2,deb2	3	1.8671460151672363	ambarLuna	bi
dsa1,dsb1,tea1	3	2.0427539348602295	ambarLuna	bi
dsc2,dsb2,dec2	1	2.803046941757202	ambarLuna	bi
dsa1,dea1,deb1	1	2.130897045135498	ambarLuna	bi
tec2,dsb2,dsc2	1	2.042997121810913	ambarLuna	bi
