stimulus	response	reactionTime	participant	group
dea1,tsa1,tsb1	1	3.371095895767212	melindaPorta	bi
dec2,tsb2,tsc2	1	1.961622953414917	melindaPorta	bi
tec2,tea2,tsb2	3	2.0668959617614746	melindaPorta	bi
tec1,dsc1,dsb1	1	2.026798963546753	melindaPorta	bi
deb2,dsa2,dsc2	1	2.186924934387207	melindaPorta	bi
dsa2,deb2,dea2	1	1.9069750308990479	melindaPorta	bi
teb2,tec2,dsc2	3	1.8428969383239746	melindaPorta	bi
dsc1,deb1,dec1	1	1.8589680194854736	melindaPorta	bi
dea2,tsa2,tsb2	1	2.0272271633148193	melindaPorta	bi
teb1,tea1,tsa1	3	1.9227337837219238	melindaPorta	bi
dsc2,deb2,dec2	1	2.0429890155792236	melindaPorta	bi
tsa1,tsb1,dea1	3	1.9473059177398682	melindaPorta	bi
tec1,tea1,tsb1	3	2.058877944946289	melindaPorta	bi
dsa2,dsc2,deb2	3	2.2105979919433594	melindaPorta	bi
dsa1,dea1,deb1	1	1.963582992553711	melindaPorta	bi
tsc2,teb2,tec2	1	1.9231841564178467	melindaPorta	bi
deb1,tsa1,tsc1	3	2.0670740604400635	melindaPorta	bi
dec2,tsc2,tsb2	1	2.2268760204315186	melindaPorta	bi
dec1,dea1,dsb1	3	2.402981996536255	melindaPorta	bi
dec1,tsb1,tsc1	1	1.899101972579956	melindaPorta	bi
tea1,tec1,dsb1	3	2.0268659591674805	melindaPorta	bi
tea2,tsa2,tsb2	1	1.9388301372528076	melindaPorta	bi
dsa2,dsc2,teb2	3	2.026851177215576	melindaPorta	bi
tsb1,tec1,tea1	1	1.9628260135650635	melindaPorta	bi
tsa2,teb2,tea2	1	2.026978015899658	melindaPorta	bi
dsa1,dsc1,teb1	3	2.370779037475586	melindaPorta	bi
tec1,teb1,dsc1	3	2.194993019104004	melindaPorta	bi
dsb1,dsc1,tec1	3	2.1070709228515625	melindaPorta	bi
tea2,tec2,tsb2	1	2.290703058242798	melindaPorta	bi
tsa2,deb2,dea2	1	2.61889386177063	melindaPorta	bi
dsc1,teb1,tec1	1	2.211012125015259	melindaPorta	bi
deb1,dea1,dsa1	3	3.131005048751831	melindaPorta	bi
tsb2,tsa2,tea2	3	2.154999017715454	melindaPorta	bi
