stimulus	response	reactionTime	participant	group
tea2,tsa2,tsb2	1	2.6501150131225586	omarGastel	bi
tsa1,tsb1,dea1	3	1.697740077972412	omarGastel	bi
tsa1,teb1,tea1	1	2.0429189205169678	omarGastel	bi
tsc2,tsb2,tec2	3	1.7149360179901123	omarGastel	bi
dsb2,dsa2,dea2	3	2.210904836654663	omarGastel	bi
tsb2,tsa2,dea2	3	1.6589949131011963	omarGastel	bi
dec2,dea2,tsb2	3	1.6910710334777832	omarGastel	bi
dea1,dsa1,dsb1	3	2.4826548099517822	omarGastel	bi
tsc1,tsa1,teb1	3	2.0430209636688232	omarGastel	bi
dsc1,deb1,dec1	1	1.8348891735076904	omarGastel	bi
tsa1,deb1,dea1	3	1.8029561042785645	omarGastel	bi
tsc2,dec2,deb2	1	2.251039981842041	omarGastel	bi
dsb1,tea1,tec1	1	2.226806879043579	omarGastel	bi
dsc1,dsa1,teb1	3	2.0427989959716797	omarGastel	bi
dec2,dsc2,dsb2	3	2.5789527893066406	omarGastel	bi
dsc2,teb2,tec2	1	2.2509968280792236	omarGastel	bi
dsb2,dea2,dec2	1	2.066770076751709	omarGastel	bi
dsb2,tea2,tec2	1	2.1714019775390625	omarGastel	bi
teb2,tec2,tsc2	3	2.187068223953247	omarGastel	bi
deb1,tsa1,tsc1	1	2.370712995529175	omarGastel	bi
dec1,dea1,tsb1	3	1.6191399097442627	omarGastel	bi
tea1,tec1,tsb1	3	2.2748448848724365	omarGastel	bi
tsc1,tsb1,dec1	3	1.9153099060058594	omarGastel	bi
dec2,dsb2,dsc2	1	2.026679039001465	omarGastel	bi
dea2,deb2,tsa2	3	2.19484806060791	omarGastel	bi
tea1,teb1,tsa1	3	2.370950222015381	omarGastel	bi
tec1,teb1,dsc1	3	2.187072992324829	omarGastel	bi
dsb1,dsc1,dec1	3	2.083009958267212	omarGastel	bi
tec2,tea2,tsb2	1	2.091161012649536	omarGastel	bi
tec1,tea1,tsb1	3	2.602686882019043	omarGastel	bi
dea1,tsb1,tsa1	1	2.6749351024627686	omarGastel	bi
deb1,dsa1,dsc1	1	1.986997127532959	omarGastel	bi
dsa2,dsb2,tea2	3	1.9388160705566406	omarGastel	bi
dsb2,tec2,tea2	3	2.5868418216705322	omarGastel	bi
tsb1,tsa1,dea1	3	1.6989319324493408	omarGastel	bi
teb1,tea1,tsa1	3	2.411237955093384	omarGastel	bi
teb2,tsa2,tsc2	1	1.6986870765686035	omarGastel	bi
tea2,tec2,dsb2	1	2.9069318771362305	omarGastel	bi
tec1,dsb1,dsc1	1	2.0829601287841797	omarGastel	bi
dsb1,dsa1,dea1	3	1.8428139686584473	omarGastel	bi
dsc1,teb1,tec1	1	2.018854856491089	omarGastel	bi
dsa1,teb1,tea1	1	2.067164897918701	omarGastel	bi
tec2,tsc2,tsb2	1	1.8827338218688965	omarGastel	bi
dsc2,dec2,deb2	1	1.9627289772033691	omarGastel	bi
tsa2,tsb2,dea2	3	1.9235188961029053	omarGastel	bi
dsa1,dsc1,teb1	3	1.9628820419311523	omarGastel	bi
dsa2,teb2,tea2	1	1.9867610931396484	omarGastel	bi
tsa1,tsb1,tea1	3	1.8832428455352783	omarGastel	bi
tsb1,tsa1,tea1	3	2.4907240867614746	omarGastel	bi
dsb2,dsa2,tea2	3	1.9470698833465576	omarGastel	bi
teb2,tsc2,tsa2	1	2.5786349773406982	omarGastel	bi
tsc1,tsa1,deb1	3	1.9469850063323975	omarGastel	bi
deb2,dec2,dsc2	3	2.554935932159424	omarGastel	bi
tsc2,tsa2,deb2	3	1.7549939155578613	omarGastel	bi
tsb2,tsa2,tea2	3	2.026914119720459	omarGastel	bi
tsb2,dec2,dea2	1	1.9629878997802734	omarGastel	bi
tsa2,dea2,deb2	3	1.9630320072174072	omarGastel	bi
dea2,dec2,tsb2	3	1.7629289627075195	omarGastel	bi
dsc2,tec2,teb2	1	2.187183141708374	omarGastel	bi
tsc1,tsb1,tec1	3	2.010918140411377	omarGastel	bi
teb2,tea2,dsa2	1	3.0269720554351807	omarGastel	bi
tsb1,tea1,tec1	1	2.234894037246704	omarGastel	bi
tsc2,deb2,dec2	1	1.938887119293213	omarGastel	bi
teb2,dsa2,dsc2	1	2.146944999694824	omarGastel	bi
dsb2,dsc2,tec2	3	2.002753973007202	omarGastel	bi
tea1,dsb1,dsa1	1	2.1868319511413574	omarGastel	bi
tec2,dsc2,dsb2	1	2.1070899963378906	omarGastel	bi
tea2,teb2,dsa2	3	2.3788862228393555	omarGastel	bi
tea1,tec1,dsb1	1	2.906641960144043	omarGastel	bi
teb1,dsc1,dsa1	1	2.186830997467041	omarGastel	bi
tsb2,tec2,tea2	3	2.7018399238586426	omarGastel	bi
dea1,tsa1,tsb1	3	2.2509191036224365	omarGastel	bi
deb2,dsc2,dsa2	1	1.899183988571167	omarGastel	bi
tea2,dsb2,dsa2	1	2.1069140434265137	omarGastel	bi
tsa2,tsc2,teb2	3	1.6989459991455078	omarGastel	bi
deb1,dea1,dsa1	3	1.8590497970581055	omarGastel	bi
teb1,tea1,dsa1	3	2.6668541431427	omarGastel	bi
tsc2,tsb2,dec2	3	1.73868989944458	omarGastel	bi
dsb1,tec1,tea1	1	2.9468579292297363	omarGastel	bi
tsa1,tsc1,deb1	3	2.1869990825653076	omarGastel	bi
dea1,dec1,dsb1	3	1.906846046447754	omarGastel	bi
tsa2,tea2,teb2	1	2.226958990097046	omarGastel	bi
dea2,dsb2,dsa2	1	2.5550920963287354	omarGastel	bi
deb1,tsc1,tsa1	1	2.6666438579559326	omarGastel	bi
tsb1,tsc1,dec1	3	1.835054874420166	omarGastel	bi
tea1,tsb1,tsa1	1	2.826968193054199	omarGastel	bi
dea1,dec1,tsb1	3	1.658836841583252	omarGastel	bi
dsc2,deb2,dec2	1	2.3069560527801514	omarGastel	bi
dec2,deb2,tsc2	3	1.6591641902923584	omarGastel	bi
dsc1,dsb1,dec1	3	2.0026369094848633	omarGastel	bi
dsb1,dea1,dec1	1	2.1309168338775635	omarGastel	bi
tsa1,dea1,deb1	3	2.3549370765686035	omarGastel	bi
teb1,tsc1,tsa1	1	2.1869261264801025	omarGastel	bi
teb1,tsa1,tsc1	1	2.411217212677002	omarGastel	bi
tsb1,dec1,dea1	3	1.8027241230010986	omarGastel	bi
deb2,dea2,dsa2	3	2.130919933319092	omarGastel	bi
teb2,tec2,dsc2	3	2.3309459686279297	omarGastel	bi
deb1,dsc1,dsa1	3	2.2755589485168457	omarGastel	bi
tea2,dsa2,dsb2	3	2.7546660900115967	omarGastel	bi
tec2,teb2,dsc2	1	3.0191428661346436	omarGastel	bi
tea2,teb2,tsa2	3	2.018903970718384	omarGastel	bi
tsc2,tsa2,teb2	3	1.7149379253387451	omarGastel	bi
dea1,deb1,dsa1	3	1.7553730010986328	omarGastel	bi
dsa1,dsb1,dea1	3	1.923147201538086	omarGastel	bi
tsb1,tec1,tea1	1	2.827098846435547	omarGastel	bi
tsa2,deb2,dea2	1	2.2510218620300293	omarGastel	bi
dsa2,dea2,deb2	1	2.1865689754486084	omarGastel	bi
dsa1,dsb1,tea1	3	2.0270090103149414	omarGastel	bi
dsa1,deb1,dea1	3	2.2508068084716797	omarGastel	bi
