stimulus	response	reactionTime	participant	group
tea1,dsb1,dsa1	1	3.047664165496826	yamileDiaz	bi
dea1,deb1,dsa1	3	2.0081088542938232	yamileDiaz	bi
deb1,tsc1,tsa1	1	1.859062910079956	yamileDiaz	bi
tsb1,dea1,dec1	3	2.154935836791992	yamileDiaz	bi
deb2,dsc2,dsa2	1	2.0430541038513184	yamileDiaz	bi
tsa1,tsc1,deb1	3	2.154869794845581	yamileDiaz	bi
dsb1,tea1,tec1	1	2.21089506149292	yamileDiaz	bi
teb2,tsa2,tsc2	1	1.8988909721374512	yamileDiaz	bi
dsa1,tea1,teb1	1	1.963198184967041	yamileDiaz	bi
tsc2,dec2,deb2	1	1.794785976409912	yamileDiaz	bi
deb2,dea2,dsa2	3	1.9069080352783203	yamileDiaz	bi
dsb2,dec2,dea2	1	1.9228990077972412	yamileDiaz	bi
teb1,dsa1,dsc1	1	2.0509719848632812	yamileDiaz	bi
tsa1,deb1,dea1	1	1.9630029201507568	yamileDiaz	bi
tsc1,tsb1,tec1	3	1.9230411052703857	yamileDiaz	bi
dsc2,deb2,dec2	1	1.9389400482177734	yamileDiaz	bi
dea1,deb1,tsa1	3	1.7630739212036133	yamileDiaz	bi
dsa1,deb1,dea1	1	1.8670570850372314	yamileDiaz	bi
teb1,tec1,dsc1	3	2.034985065460205	yamileDiaz	bi
tea2,tsa2,tsb2	1	1.826812982559204	yamileDiaz	bi
teb1,tea1,dsa1	3	1.9228429794311523	yamileDiaz	bi
tsb2,tsa2,dea2	3	1.8346819877624512	yamileDiaz	bi
tsa1,tsb1,dea1	3	2.091871976852417	yamileDiaz	bi
dsb1,dea1,dec1	1	1.922677993774414	yamileDiaz	bi
teb1,dsc1,dsa1	1	2.0268359184265137	yamileDiaz	bi
dsc2,teb2,tec2	1	2.042823076248169	yamileDiaz	bi
dsb2,tec2,tea2	3	2.0908870697021484	yamileDiaz	bi
tec1,tea1,tsb1	3	2.0431878566741943	yamileDiaz	bi
tsc1,tsa1,deb1	3	1.8187839984893799	yamileDiaz	bi
deb2,dec2,dsc2	3	1.8832440376281738	yamileDiaz	bi
dsb2,dsa2,dea2	3	2.090717077255249	yamileDiaz	bi
tsc1,tsa1,teb1	3	1.9229631423950195	yamileDiaz	bi
